BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","Co-op for sale",450000,1,1115,"111-20 73rd Ave Unit 6H","Forest Hills, NY 11375","111-20 73rd Ave Unit 6H, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",11120,"11120 73rd Ave #6h, Forest Hills, NY 11375, USA",40.7193296,-73.8380044
"Brokered by KMS Realty Group, Inc.","House for sale",629000,2,1216,"132 Dalton Ave","Staten Island, NY 10306","132 Dalton Ave, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Dalton Avenue","132 Dalton Ave, Staten Island, NY 10306, USA",40.571871,-74.1276199
"Brokered by Keller Williams Realty NYC Grp","Co-op for sale",235000,1,660,"3125 Tibbett Ave Apt 8C","Bronx, NY 10463","3125 Tibbett Ave Apt 8C, Bronx, NY 10463","New York","Bronx County","The Bronx",Kingsbridge,3125,"3125 Tibbett Ave #8c, Bronx, NY 10463, USA",40.881546,-73.908104
"Brokered by Corcoran Chelsea/Flatiron","House for sale",2695000,2,1750,"12 W 18th St Apt 4E","New York, NY 10011","12 W 18th St Apt 4E, New York, NY 10011","New York","New York County","New York",Manhattan,12,"12 W 18th St #4e, New York, NY 10011, USA",40.7388719,-73.9929549
"Brokered by Douglas Elliman - 3544 Johnson Ave","Condo for sale",585000,2,988,"3625 Oxford Ave Apt 2B","Bronx, NY 10463","3625 Oxford Ave Apt 2B, Bronx, NY 10463","New York","Bronx County","The Bronx",Riverdale,3625,"3625 Oxford Ave #2b, Bronx, NY 10463, USA",40.8870567,-73.908722
"Brokered by E Realty International Corp","Multi-family home for sale",1598000,5,2162,"59-20 Xenia St","Corona, NY 11368","59-20 Xenia St, Corona, NY 11368","United States","New York","Queens County",Queens,"Xenia Street","59-20 Xenia St, Flushing, NY 11368, USA",40.7375448,-73.8549421
"Brokered by COMPASS","Condo for sale",848880,1,713,"11 E 36th St Ste 404","Manhattan, NY 10016","11 E 36th St Ste 404, Manhattan, NY 10016","New York","New York County","New York",Manhattan,11,"11 E 36th St STE 404, New York, NY 10016, USA",40.7496366,-73.9825832
"Brokered by Avenue & Street Realty Inc","Co-op for sale",268000,1,750,"13839 Jewel Ave Apt 3A","Flushing, NY 11367","13839 Jewel Ave Apt 3A, Flushing, NY 11367","New York","Queens County",Queens,Flushing,13839,"13839 Jewel Ave #3a, Flushing, NY 11367, USA",40.7295527,-73.8272075
"Brokered by Corcoran Westside Columbus","Condo for sale",3700000,3,1756,"1280 Fifth Ave Apt 17B","New York, NY 10029","1280 Fifth Ave Apt 17B, New York, NY 10029","New York","New York County","New York",Manhattan,1280,"1280 5th Ave #17b, New York, NY 10029, USA",40.7961886,-73.949116
"Brokered by Toll Brothers, Inc","Condo for sale",1125000,1,743,"218 W 103rd St Unit 4F","New York, NY 10025","218 W 103rd St Unit 4F, New York, NY 10025","United States","New York","New York County","New York","West 103rd Street","4 W 103rd St, New York, NY 10025, USA",40.7961762,-73.962094
"Brokered by Keller Williams Rlty Landmark","House for sale",799000,2,2201,"25-21 Humphrey St","East Elmhurst, NY 11369","25-21 Humphrey St, East Elmhurst, NY 11369","United States","New York","Queens County",Queens,"Humphreys Street","2521 Humphreys St, Flushing, NY 11369, USA",40.7645407,-73.8683353
"Brokered by Momentum Real Estate Llc","House for sale",1380000,2,2520,"8903 Ridge Blvd","Brooklyn, NY 11209","8903 Ridge Blvd, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"Ridge Boulevard","8903 Ridge Blvd, Brooklyn, NY 11209, USA",40.6217919,-74.0343844
"Brokered by Brown Harris Stevens- 3531 Johnson Avenue","Co-op for sale",600000,2,2201,"3333 Henry Hudson Pkwy Apt 20N","Bronx, NY 10463","3333 Henry Hudson Pkwy Apt 20N, Bronx, NY 10463","New York","Bronx County","The Bronx",Riverdale,3333,"3333 Henry Hudson Pkwy #20, Bronx, NY 10463, USA",40.8855625,-73.9143965
"Brokered by Corcoran East Side","Condo for sale",8525000,4,2863,"126 E 86th St # 16A","New York, NY 10028","126 E 86th St # 16A, New York, NY 10028","New York","New York County","New York",Manhattan,126,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419
"Brokered by Nardoni Realty Inc.","Co-op for sale",799000,1,950,"201 E 28th St Unit 7K","New York, NY 10016","201 E 28th St Unit 7K, New York, NY 10016","New York","New York County","New York",Manhattan,201,"201 E 28th St #7k, New York, NY 10016, USA",40.7419819,-73.980516
"Brokered by Keller Williams Realty Staten Island",Contingent,625000,2,1650,"26 Roe St","Staten Island, NY 10310","26 Roe St, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Roe Street","26 Roe St, Staten Island, NY 10310, USA",40.6333731,-74.122092
"Brokered by Oxford Property Group","Townhouse for sale",1225000,4,1821,"1103 Bushwick Ave","Brooklyn, NY 11221","1103 Bushwick Ave, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Bushwick Avenue","1103 Bushwick Ave, Brooklyn, NY 11221, USA",40.6901415,-73.9187569
"Brokered by Astor Brokerage Ltd","Multi-family home for sale",1285000,2,2185,"147-57 76th Rd","Flushing, NY 11367","147-57 76th Rd, Flushing, NY 11367","United States","New York","Queens County",Queens,"76th Road","147-57 76th Rd, Flushing, NY 11367, USA",40.7234054,-73.8154612
"Brokered by Accord Homes Realty","Condo for sale",309000,1,862,"1505 Archer Rd Apt 2D","Bronx, NY 10462","1505 Archer Rd Apt 2D, Bronx, NY 10462","New York","Bronx County","The Bronx",Parkchester,1505,"1505 Archer Rd #2d, Bronx, NY 10462, USA",40.8385018,-73.86211
"Brokered by 5 Boro Realty Corp","Multi-family home for sale",1250000,3,3496,"739 E 89th St","Brooklyn, NY 11236","739 E 89th St, Brooklyn, NY 11236","United States","New York","Kings County",Brooklyn,"East 89th Street","739 E 89th St, Brooklyn, NY 11236, USA",40.6405629,-73.9073462
"Brokered by COMPASS","Townhouse for sale",2099000,4,3200,"16 DE Koven Ct","Brooklyn, NY 11230","16 DE Koven Ct, Brooklyn, NY 11230","United States","New York","Kings County",Brooklyn,"Dekoven Court","16 Dekoven Ct, Brooklyn, NY 11230, USA",40.6328573,-73.9632363
"Brokered by COMPASS","Co-op for sale",560000,1,2165,"320 E 42nd St Apt 3012","Manhattan, NY 10017","320 E 42nd St Apt 3012, Manhattan, NY 10017","New York","New York County","New York",Manhattan,320,"320 E 42nd St Apt 3012, New York, NY 10017, USA",40.7494678,-73.9717468
"Brokered by Corcoran East Side","Condo for sale",3795000,3,1981,"200 E 62nd St Apt 19A","New York, NY 10065","200 E 62nd St Apt 19A, New York, NY 10065","New York","New York County","New York",Manhattan,200,"200 E 62nd St #19a, New York, NY 10065, USA",40.7630942,-73.9649721
"Brokered by Master Associates Inc.","Multi-family home for sale",1229000,5,2816,"7550 Amboy Rd","Staten Island, NY 10307","7550 Amboy Rd, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Amboy Road","7550 Amboy Rd, Staten Island, NY 10307, USA",40.5086315,-74.2470232
"Brokered by Tudor Realty Services Corp. - Tudor Realty Services Corp.","Co-op for sale",269500,1,2197,"2080-2090 Barnes Ave Unit 5B","Bronx, NY 10462","2080-2090 Barnes Ave Unit 5B, Bronx, NY 10462","New York","Bronx County","The Bronx","East Bronx",2080,"2080 Barnes Ave #2090, Bronx, NY 10462, USA",40.8531021,-73.8636237
"Brokered by Corcoran East Side","Condo for sale",8525000,4,2863,"126 E 86th St # 16A","New York, NY 10028","126 E 86th St # 16A, New York, NY 10028","New York","New York County","New York",Manhattan,126,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",3275000,3,2188,"8 E 83rd St Units 11 & 12D","Manhattan, NY 10028","8 E 83rd St Units 11 & 12D, Manhattan, NY 10028","New York","New York County","New York",Manhattan,8,"8 East 83rd St Tenants Corporation, 8 E 83rd St, New York, NY 10028, USA",40.779101,-73.961095
"Brokered by Douglas Elliman - 575 Madison Ave","Co-op for sale",3795000,3,2161,"31 E 72nd St Apt 3B","New York, NY 10021","31 E 72nd St Apt 3B, New York, NY 10021","New York","New York County","New York",Manhattan,31,"31 E 72nd St #3b, New York, NY 10021, USA",40.7719215,-73.9650839
"Brokered by Winzone Realty Inc","Co-op for sale",285000,1,2201,"98-120 Queens Blvd Unit 2H","Rego Park, NY 11374","98-120 Queens Blvd Unit 2H, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",120,"120 Queens Blvd #98, Rego Park, NY 11374, USA",40.726843,-73.85458
"Brokered by Spire Group Inc.- Main Office","Condo for sale",780000,1,2170,"550 Vanderbilt Ave Apt 511","Brooklyn, NY 11238","550 Vanderbilt Ave Apt 511, Brooklyn, NY 11238","New York","Kings County",Brooklyn,"Prospect Heights",550,"550 Vanderbilt Ave Apartment 511, Brooklyn, NY 11238, USA",40.6807067,-73.96822
"Brokered by Corcoran Brooklyn Heights","Condo for sale",1075000,2,1144,"1222 Putnam Ave # 4A","Brooklyn, NY 11221","1222 Putnam Ave # 4A, Brooklyn, NY 11221","New York","Kings County",Brooklyn,Bushwick,1222,"1222 Putnam Ave #4a, Brooklyn, NY 11221, USA",40.6912454,-73.9154184
"Brokered by Corcoran Brooklyn Heights","Condo for sale",1075000,2,1144,"1222 Putnam Ave # 4A","Brooklyn, NY 11221","1222 Putnam Ave # 4A, Brooklyn, NY 11221","New York","Kings County",Brooklyn,Bushwick,1222,"1222 Putnam Ave #4a, Brooklyn, NY 11221, USA",40.6912454,-73.9154184
"Brokered by J Coco Realty Llc","Co-op for sale",345000,1,2194,"6610 Thornton Pl Apt 3B","Rego Park, NY 11374","6610 Thornton Pl Apt 3B, Rego Park, NY 11374","New York","Queens County",Queens,Flushing,6610,"6610 Thornton Pl #3c, Flushing, NY 11374, USA",40.7233159,-73.858254
"Brokered by EXP Realty - HAUPPAUGE","Co-op for sale",365000,1,2170,"225-08 Hillside Ave Unit Duplex","Queens Village, NY 11427","225-08 Hillside Ave Unit Duplex, Queens Village, NY 11427","United States","New York","Queens County",Queens,"Hillside Avenue","225-8 Hillside Ave., Queens Village, NY 11427, USA",40.7316971,-73.7409842
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",750000,1,592,"250 Manhattan Ave Unit 3R","Brooklyn, NY 11211","250 Manhattan Ave Unit 3R, Brooklyn, NY 11211","New York","Kings County",Brooklyn,Williamsburg,250,"250 Manhattan Ave #3r, Brooklyn, NY 11211, USA",40.7120018,-73.9453832
"Brokered by Corcoran East Side","Condo for sale",1850000,2,1322,"40 Broad St Ph 3F","New York, NY 10004","40 Broad St Ph 3F, New York, NY 10004","New York","New York County","New York",Manhattan,40,"40 Broad St Fl 3, New York, NY 10004, USA",40.7060214,-74.0117866
"Brokered by RE MAX Edge","House for sale",1288000,2.5,1692,"7715 20th Ave","Brooklyn, NY 11214","7715 20th Ave, Brooklyn, NY 11214","United States","New York","Kings County",Brooklyn,"20th Avenue","7715 20th Ave, Brooklyn, NY 11214, USA",40.6091787,-73.993115
"Brokered by Cross Country Realty","Multi-family home for sale",769000,3,2185,"1038 E 100th St","Brooklyn, NY 11236","1038 E 100th St, Brooklyn, NY 11236","United States","New York","Kings County",Brooklyn,"East 100th Street","1038 East 100th Street, Brooklyn, NY 11236, USA",40.6426509,-73.8958975
"Brokered by Keller Williams Rlty Landmark",Pending,925000,2,2180,"61-19 75th Pl","Middle Village, NY 11379","61-19 75th Pl, Middle Village, NY 11379","United States","New York","Queens County",Queens,"75th Place","61-19 75th Pl, Flushing, NY 11379, USA",40.7223571,-73.8834031
"Brokered by Corcoran Park Avenue South",Pending,625000,1,2181,"281 W 11th St Apt 4A","New York, NY 10014","281 W 11th St Apt 4A, New York, NY 10014","New York","New York County","New York",Manhattan,281,"281 W 11th St #4a, New York, NY 10014, USA",40.7362044,-74.0047875
"Brokered by New American Realty Corp","Multi-family home for sale",1375000,3,3039,"726 E 134th St","Bronx, NY 10454","726 E 134th St, Bronx, NY 10454","United States","New York","Bronx County","The Bronx","East 134th Street","726 E 134th St, Bronx, NY 10454, USA",40.8019854,-73.9144974
"Brokered by Tapestry Real Estate of Queens","Co-op for sale",270000,1,700,"21-05 33 St Unit 5F","Astoria, NY 11101","21-05 33 St Unit 5F, Astoria, NY 11101","New York","Queens County",Queens,Astoria,21-05,"21-05 33rd St #5f, Astoria, NY 11105, USA",40.7769221,-73.9073482
"Brokered by William Raveis New York City",Contingent,499000,1,2209,"120 E 36th St Apt 10C","New York, NY 10016","120 E 36th St Apt 10C, New York, NY 10016","New York","New York County","New York",Manhattan,120,"120 E 36th St #10c, New York, NY 10016, USA",40.7477728,-73.9794793
"Brokered by Douglas Elliman - 1995 Broadway","Co-op for sale",3585000,3,2237,"344 W 72nd St Apt 609","New York, NY 10023","344 W 72nd St Apt 609, New York, NY 10023","New York","New York County","New York",Manhattan,344,"344 W 72nd St #609, New York, NY 10023, USA",40.7803967,-73.9864464
"Brokered by RE/MAX 2000","House for sale",749999,3,2185,"2414 Tiebout Ave","Bronx, NY 10458","2414 Tiebout Ave, Bronx, NY 10458","United States","New York","Bronx County","The Bronx","Tiebout Avenue","2414 Tiebout Ave, Bronx, NY 10458, USA",40.8595463,-73.8956582
"Brokered by Momentum Real Estate LLC","House for sale",499000,2,1024,"140 Kiswick St","Staten Island, NY 10306","140 Kiswick St, Staten Island, NY 10306","United States","New York","Richmond County","Staten Island","Kiswick Street","140 Kiswick St, Staten Island, NY 10306, USA",40.5757598,-74.0943577
"Brokered by Corcoran Bedford Stuyvesant","Condo for sale",595000,1,556,"68 Eldert St # 4C","Brooklyn, NY 11207","68 Eldert St # 4C, Brooklyn, NY 11207","New York","Kings County",Brooklyn,Bushwick,68,"68 Eldert St #4c, Brooklyn, NY 11207, USA",40.6869771,-73.9126141
"Brokered by Corcoran Chelsea/Flatiron","Multi-family home for sale",5000000,3,1845,"215 Sullivan St Apt 5E","New York, NY 10012","215 Sullivan St Apt 5E, New York, NY 10012","New York","New York County","New York",Manhattan,215,"215 Sullivan St #5e, New York, NY 10012, USA",40.7293399,-73.9998507
"Brokered by Re/Max In The City","Co-op for sale",469900,2,1200,"2711 Henry Hudson Pkwy Apt 3C","Bronx, NY 10463","2711 Henry Hudson Pkwy Apt 3C, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",2711,"2711 Henry Hudson Pkwy #3c, Bronx, NY 10463, USA",40.8819273,-73.9172822
"Brokered by Corcoran Chelsea/Flatiron","Co-op for sale",1995000,2,2203,"8 E 83rd St # 8G","New York, NY 10028","8 E 83rd St # 8G, New York, NY 10028","New York","New York County","New York",Manhattan,8,"8 E 83rd St # 8b, New York, NY 10028, USA",40.7793278,-73.9615999
"Brokered by Pantiga Group Inc.","Co-op for sale",159999,1,650,"1372 Shakespeare Ave Apt 4C","Bronx, NY 10452","1372 Shakespeare Ave Apt 4C, Bronx, NY 10452","New York","Bronx County","The Bronx","Mount Eden",1372,"1372 Shakespeare Ave #4c, Bronx, NY 10452, USA",40.8412247,-73.9216103
"Brokered by Charles Rutenberg Realty Inc","House for sale",758000,2,1216,"960 E 40th St","Brooklyn, NY 11210","960 E 40th St, Brooklyn, NY 11210","United States","New York","Kings County",Brooklyn,"East 40th Street","960 E 40th St, Brooklyn, NY 11210, USA",40.6318515,-73.9382094
"Brokered by Douglas Elliman  -111 Fifth Ave","Multi-family home for sale",2100000,4,3750,"958 Madison St","Brooklyn, NY 11221","958 Madison St, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Madison Street","958 Madison St, Brooklyn, NY 11221, USA",40.6885485,-73.9192355
"Brokered by Corcoran East Side","Co-op for sale",32000000,6,2199,"944 Fifth Ave # 3FL","New York, NY 10021","944 Fifth Ave # 3FL, New York, NY 10021","United States","New York","New York County","New York","5th Avenue","944 5th Ave, New York, NY 10021, USA",40.7745478,-73.9651644
"Brokered by TOP NEST INC","House for sale",620000,2,1280,"145-47 115th Ave","Jamaica, NY 11436","145-47 115th Ave, Jamaica, NY 11436","United States","New York","Queens County",Queens,"115th Avenue","145-47 115th Ave, Jamaica, NY 11436, USA",40.6837376,-73.7967497
"Brokered by Countrywide Real Estate Inc","House for sale",849000,2,1890,"2021 Watson Ave","Bronx, NY 10472","2021 Watson Ave, Bronx, NY 10472","United States","New York","Bronx County","The Bronx","Watson Avenue","2021 Watson Ave, Bronx, NY 10472, USA",40.8292519,-73.855841
"Brokered by Re/Max In The City","Co-op for sale",469900,2,1200,"2711 Henry Hudson Pkwy Apt 3C","Bronx, NY 10463","2711 Henry Hudson Pkwy Apt 3C, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",2711,"2711 Henry Hudson Pkwy #3c, Bronx, NY 10463, USA",40.8819273,-73.9172822
"Brokered by Corcoran Chelsea/Flatiron","Co-op for sale",1995000,2,2176,"8 E 83rd St # 8G","New York, NY 10028","8 E 83rd St # 8G, New York, NY 10028","New York","New York County","New York",Manhattan,8,"8 E 83rd St # 8b, New York, NY 10028, USA",40.7793278,-73.9615999
"Brokered by CENTURY 21 Achievers","Multi-family home for sale",3400000,8,2169,"567 St Johns Pl","Brooklyn, NY 11238","567 St Johns Pl, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Saint Johns Place","567 St Johns Pl, Brooklyn, NY 11238, USA",40.6729971,-73.9592414
"Brokered by The Agency","Co-op for sale",1575000,2,1157,"165 W End Ave Apt 7K","New York, NY 10023","165 W End Ave Apt 7K, New York, NY 10023","New York","New York County","New York",Manhattan,165,"165 West End Ave #7k, New York, NY 10023, USA",40.777244,-73.9868738
"Brokered by Ben Bay Rlty Of Marine Pk Llc","Co-op for sale",259000,1,570,"160 72nd St Apt 791","Brooklyn, NY 11209","160 72nd St Apt 791, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",160,"160 72nd St Apt 791, Brooklyn, NY 11209, USA",40.6343667,-74.0311335
"Brokered by Highline Residential - Highline Residential","House for sale",2300000,4,3850,"762 Greene Ave","Brooklyn, NY 11221","762 Greene Ave, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Greene Avenue","762 Greene Ave, Brooklyn, NY 11221, USA",40.6897465,-73.9379631
"Brokered by Douglas Elliman  -111 Fifth Ave","Co-op for sale",975000,1,2199,"300 Riverside Dr Apt 8H","New York, NY 10025","300 Riverside Dr Apt 8H, New York, NY 10025","New York","New York County","New York",Manhattan,300,"300 Riverside Dr #8h, New York, NY 10025, USA",40.7997797,-73.9713866
"Brokered by Beaudoin Realty Group Inc","Co-op for sale",639000,1,1050,"37-33 84 St Unit 31","Jackson Heights, NY 11372","37-33 84 St Unit 31, Jackson Heights, NY 11372","New York","Queens County",Queens,"Jackson Heights",3733,"3733 84th St Apt 31, Jackson Heights, NY 11372, USA",40.749516,-73.8822296
"Brokered by Keller Williams Rlty Landmark","Multi-family home for sale",1698888,6,3025,"149-63 Ash Ave","Flushing, NY 11355","149-63 Ash Ave, Flushing, NY 11355","United States","New York","Queens County",Queens,"Ash Avenue","14963 Ash Ave, Flushing, NY 11355, USA",40.7602485,-73.8124754
"Brokered by Momentum Real Estate Llc","Multi-family home for sale",1180000,3,1528,"6504 17th Ave","Brooklyn, NY 11204","6504 17th Ave, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"17th Avenue","6504 17th Ave, Brooklyn, NY 11204, USA",40.6204591,-73.9928625
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",6750000,2,2320,"15 Hudson Yards Apt 66B","New York, NY 10001","15 Hudson Yards Apt 66B, New York, NY 10001","New York","New York County","New York",Manhattan,15,"15 Hudson Yards #66, New York, NY 10001, USA",40.7537586,-74.003221
"Brokered by Ben Bay Realty Company of Staten Island LLC","Townhouse for sale",499000,2,1890,"328 Taylor St","Staten Island, NY 10310","328 Taylor St, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Taylor Street","328 Taylor St, Staten Island, NY 10310, USA",40.630181,-74.1228208
"Brokered by COMPASS","Condo for sale",799000,1,2186,"300 E 40th St Apt 30N","Manhattan, NY 10016","300 E 40th St Apt 30N, Manhattan, NY 10016","New York","New York County","New York",Manhattan,300,"300 E 40th St Apt 30n, New York, NY 10016, USA",40.7484135,-73.9731998
"Brokered by Douglas Elliman - 140 Franklin","Co-op for sale",600000,1,750,"210 W 103rd St Apt 5F","New York, NY 10025","210 W 103rd St Apt 5F, New York, NY 10025","New York","New York County","New York",Manhattan,210,"210 W 103rd St #5f, New York, NY 10025, USA",40.7986646,-73.9678976
"Brokered by Signature Premier Properties","Multi-family home for sale",699000,2,2168,"117-68 140th St","Jamaica, NY 11436","117-68 140th St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"140th Street","117-68 140th St, Jamaica, NY 11436, USA",40.6762104,-73.8013544
"Brokered by EXIT REALTY FIRST CHOICE","House for sale",1578000,3,2162,"76-24 176th St","Fresh Meadows, NY 11366","76-24 176th St, Fresh Meadows, NY 11366","United States","New York","Queens County",Queens,"176th Street","76-24 176th St, Flushing, NY 11366, USA",40.7262631,-73.7937601
"Brokered by E Realty International Corp","House for sale",849000,3,2173,"257-21 87th Ave","Floral Park, NY 11001","257-21 87th Ave, Floral Park, NY 11001","United States","New York","Queens County",Queens,"87th Avenue","257-21 87th Ave, Queens, NY 11001, USA",40.7314866,-73.7083076
"Brokered by COMPASS","Condo for sale",4275000,2,2160,"110 Central Park S Apt 5A","Manhattan, NY 10019","110 Central Park S Apt 5A, Manhattan, NY 10019","New York","New York County","New York",Manhattan,110,"110 Central Park S #5a, New York, NY 10019, USA",40.765738,-73.9770652
"Brokered by Corcoran East Side","Co-op for sale",1550000,1,2188,"2 Fifth Ave Apt 3F","New York, NY 10011","2 Fifth Ave Apt 3F, New York, NY 10011","New York","New York County","New York",Manhattan,2,"2 5th Ave #3f, New York, NY 10011, USA",40.7324629,-73.9972883
"Brokered by Shaw Properties","House for sale",489000,3,2500,"4429 Matilda Ave","Bronx, NY 10470","4429 Matilda Ave, Bronx, NY 10470","United States","New York","Bronx County","The Bronx","Matilda Avenue","4429 Matilda Ave, Bronx, NY 10470, USA",40.9000223,-73.8557587
"Brokered by Ben Bay Realty Company of Staten Island LLC","Townhouse for sale",499000,2,1890,"328 Taylor St","Staten Island, NY 10310","328 Taylor St, Staten Island, NY 10310","United States","New York","Richmond County","Staten Island","Taylor Street","328 Taylor St, Staten Island, NY 10310, USA",40.630181,-74.1228208
"Brokered by COMPASS","Condo for sale",799000,1,2195,"300 E 40th St Apt 30N","Manhattan, NY 10016","300 E 40th St Apt 30N, Manhattan, NY 10016","New York","New York County","New York",Manhattan,300,"300 E 40th St Apt 30n, New York, NY 10016, USA",40.7484135,-73.9731998
"Brokered by Brown Harris Stevens - 1926 Broadway","Co-op for sale",6700000,3,2204,"300 Central Park W Apt 16B","Manhattan, NY 10024","300 Central Park W Apt 16B, Manhattan, NY 10024","New York","New York County","New York",Manhattan,300,"300 Central Park W #16b, New York, NY 10024, USA",40.7882884,-73.9674607
"Brokered by Living NY - Main Office","Townhouse for sale",10750000,10,6532,"49 W 16th St Unit Townhouse","New York, NY 10011","49 W 16th St Unit Townhouse, New York, NY 10011","United States","New York","New York County","New York","West 16th Street","49 W 16th St, New York, NY 10011, USA",40.7385972,-73.9951773
"Brokered by Corcoran Legends Realty","Co-op for sale",520000,1,730,"444 E 75th St Apt 7H","New York, NY 10021","444 E 75th St Apt 7H, New York, NY 10021","New York","New York County","New York",Manhattan,444,"444 E 75th St #7h, New York, NY 10021, USA",40.7685551,-73.9522955
"Brokered by COMPASS","Co-op for sale",715000,1,2209,"54 W 16th St Apt 9G","Manhattan, NY 10011","54 W 16th St Apt 9G, Manhattan, NY 10011","New York","New York County","New York",Manhattan,54,"54 W 16th St #9g, New York, NY 10011, USA",40.7384289,-73.9956975
"Brokered by Douglas Elliman - 575 Madison Ave","Co-op for sale",689000,1,1000,"415 E 52nd St Apt 9AB","New York, NY 10022","415 E 52nd St Apt 9AB, New York, NY 10022","New York","New York County","New York",Manhattan,415,"415 E 52nd St #9a, New York, NY 10022, USA",40.7548672,-73.964448
"Brokered by Elegran Real Estate And Development","Condo for sale",5750000,3,3700,"259 Bowery Units 3 & 4","New York, NY 10002","259 Bowery Units 3 & 4, New York, NY 10002",10002,"United States","New York","New York County",Manhattan,"E Houston St, New York, NY 10002, USA",40.7231518,-73.9927218
"Brokered by Corcoran East Side","Co-op for sale",885000,1,2160,"225 E 57th St Apt 11M","New York, NY 10022","225 E 57th St Apt 11M, New York, NY 10022","New York","New York County","New York",Manhattan,225,"225 E 57th St #11m, New York, NY 10022, USA",40.7600656,-73.9664566
"Brokered by Empire Fine Homes","House for sale",899000,2,1400,"35-13 103rd St","Corona, NY 11368","35-13 103rd St, Corona, NY 11368","New York","Queens County",Queens,Flushing,51-13,"51-13 103rd St #35, Flushing, NY 11368, USA",40.7421716,-73.8582741
"Brokered by Douglas Elliman - 575 Madison Ave","Co-op for sale",1250000,3,2170,"207 E 21st St Unit 4CDE","New York, NY 10010","207 E 21st St Unit 4CDE, New York, NY 10010","New York","New York County","New York",Manhattan,207,"207 E 21st St #4c, New York, NY 10010, USA",40.7374872,-73.9833473
"Brokered by Nest Seekers International, Long Island","Condo for sale",580000,2.5,2185,"109-9 15th Ave","Queens, NY 11356","109-9 15th Ave, Queens, NY 11356","United States","New York","Queens County",Queens,"15th Avenue","109-9 15th Ave, College Point, NY 11356, USA",40.7841619,-73.8570221
"Brokered by Serhant","Co-op for sale",1825000,2,1500,"315 W End Ave Apt 2B","New York, NY 10023","315 W End Ave Apt 2B, New York, NY 10023","New York","New York County","New York",Manhattan,315,"315 West End Ave #2b, New York, NY 10023, USA",40.781741,-73.9834162
"Brokered by Keller Williams Rlty Landmark",Pending,249000,1,700,"57-07 246th Cres Unit 2","Douglaston, NY 11362","57-07 246th Cres Unit 2, Douglaston, NY 11362","New York","Queens County",Queens,Douglaston,57-7,"57-7 246th Crescent #2, Douglaston, NY 11362, USA",40.7576008,-73.7355418
"Brokered by TALK OF THE TOWN REALTY C","House for sale",1175000,2.5,2173,"7322 Avenue M","Brooklyn, NY 11234","7322 Avenue M, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue M","7322 Avenue M, Brooklyn, NY 11234, USA",40.6260389,-73.9106991
"Brokered by COMPASS","Condo for sale",1100000,1,988,"318 W 100th St Apt 8B","Manhattan, NY 10025","318 W 100th St Apt 8B, Manhattan, NY 10025","New York","New York County","New York",Manhattan,318,"318 W 100th St #8b, New York, NY 10025, USA",40.7981209,-73.9726033
"Brokered by NextHome Empire","Multi-family home for sale",1695000,4,2162,"21-08 21 Rd","Astoria, NY 11105","21-08 21 Rd, Astoria, NY 11105","United States","New York","Queens County",Queens,"21st Road","21-08 21st Rd, Astoria, NY 11105, USA",40.7811121,-73.9154299
"Brokered by Keller Williams NYC","Condo for sale",4999000,2,1666,"111 Murray St Apt 41B","New York, NY 10007","111 Murray St Apt 41B, New York, NY 10007","New York","New York County","New York",Manhattan,111,"111 Murray St #41b, New York, NY 10007, USA",40.715351,-74.0128441
"Brokered by Coldwell Banker Reliable Real Estate","Multi-family home for sale",849999,2,2217,"846 E 46th St","Brooklyn, NY 11203","846 E 46th St, Brooklyn, NY 11203","United States","New York","Kings County",Brooklyn,"East 46th Street","846 E 46th St, Brooklyn, NY 11203, USA",40.6405612,-73.9333874
